class,code,name
PUC,236550,por pagos al exterior
PUC,236555,por ingresos obtenidos en el exterior
PUC,236560,enajenacion propiedades planta y equipo personas naturales
PUC,236565,por impuesto de timbre
PUC,236570,otras retenciones y patrimonio
PUC,236575,autorretenciones
PUC,2370,retenciones y aportes de nomina
PUC,237005,aportes al i.s.s.
PUC,237010,"aportes al i.c.b.f., sena y cajas de compensacion"
PUC,237015,aportes al f.i.c.
PUC,237025,embargos judiciales
PUC,237030,libranzas
PUC,237035,sindicatos
PUC,237040,cooperativas
PUC,237045,fondos
PUC,237095,otros
PUC,2375,cuotas por devolver
PUC,2380,acreedores varios
PUC,238005,depositarios
PUC,238010,comisionistas de bolsas
PUC,238015,sociedad administradora - fondos de inversion
PUC,238020,reintegros por pagar
PUC,238025,fondo de perseverancia
PUC,238030,fondos de cesantias y/o pensiones
PUC,238035,donaciones asignadas por pagar
PUC,238095,otros
PUC,24,"impuestos, gravamenes y tasas"
PUC,2404,de renta y complementarios
PUC,240405,vigencia fiscal corriente
PUC,240410,vigencias fiscales anteriores
PUC,2408,impuesto sobre las ventas por pagar
PUC,2412,de industria y comercio
PUC,241205,vigencia fiscal corriente
PUC,241210,vigencias fiscales anteriores
PUC,2416,a la propiedad raiz
PUC,2420,derechos sobre instrumentos publicos
PUC,2424,de valorizacion
PUC,242405,vigencia fiscal corriente
PUC,242410,vigencias fiscales anteriores
PUC,2428,de turismo
PUC,2432,tasa por utilizacion de puertos
PUC,2436,de vehiculos
PUC,243605,vigencia fiscal corriente
PUC,243610,vigencias fiscales anteriores
PUC,2440,de espectaculos publicos
PUC,2444,de hidrocarburos y minas
PUC,244405,de hidrocarburos
PUC,244410,de minas
PUC,2448,regalias e impuestos a la pequeña y mediana mineria
PUC,2452,a las exportaciones cafeteras
PUC,2456,a las importaciones
PUC,2460,cuotas de fomento
PUC,2464,"de licores, cervezas y cigarrillos"
PUC,246405,de licores
PUC,246410,de cervezas
PUC,246415,de cigarrillos
PUC,2468,al sacrificio de ganado
PUC,2472,al azar y juegos
PUC,2495,otros
PUC,25,obligaciones laborales
PUC,2505,salarios por pagar
PUC,2510,cesantias consolidadas
PUC,251005,ley laboral anterior
PUC,251010,ley 50 de 1990 y normas posteriores
PUC,2515,intereses sobre cesantias
PUC,2520,prima de servicios
PUC,2525,vacaciones consolidadas
PUC,252501,a 252598
PUC,2530,prestaciones extralegales
